date,code,action,price,weight,reason
2015-11-30,511020.XSHG,BUY,,0.09999999999999999,Rebalance
2015-11-30,511360.XSHG,BUY,,0.09999999999999999,Rebalance
2015-11-30,510300.XSHG,BUY,3.609,0.09999999999999999,Rebalance
2015-11-30,513500.XSHG,BUY,1.23,0.09999999999999999,Rebalance
2015-11-30,518880.XSHG,BUY,2.1830000000000003,0.09999999999999999,Rebalance
2015-11-30,510880.XSHG,BUY,2.799,0.09999999999999999,Rebalance
2016-01-15,510300.XSHG,SELL,3.1689999999999996,0.0,Stop-Loss
2016-01-15,510880.XSHG,SELL,2.416,0.0,Stop-Loss
2016-02-29,510300.XSHG,BUY,2.864,0.09999999999999999,Rebalance
2016-02-29,510880.XSHG,BUY,2.185,0.09999999999999999,Rebalance
2022-03-31,512800.XSHG,BUY,1.155,0.15,Rebalance
2022-05-31,512800.XSHG,SELL,1.09,0.0,Rebalance
2022-05-31,159796.XSHE,BUY,0.902,0.15,Rebalance
2022-06-30,159796.XSHE,SELL,1.143,0.0,Rebalance
2022-06-30,159611.XSHE,BUY,0.889,0.15,Rebalance
2022-08-31,159611.XSHE,SELL,0.917,0.0,Rebalance
2022-08-31,515790.XSHG,BUY,1.608,0.15,Rebalance
2022-09-30,515790.XSHG,SELL,1.479,0.0,Rebalance
2022-09-30,159611.XSHE,BUY,0.844,0.15,Rebalance
2022-10-31,159611.XSHE,SELL,0.829,0.0,Rebalance
2022-10-31,515790.XSHG,BUY,1.479,0.15,Rebalance
2022-11-30,515790.XSHG,SELL,1.447,0.0,Rebalance
2022-11-30,516510.XSHG,BUY,0.794,0.15,Rebalance
2023-01-31,516510.XSHG,SELL,0.903,0.0,Rebalance
2023-01-31,512690.XSHG,BUY,0.899,0.4,Rebalance
2023-02-28,512690.XSHG,SELL,0.932,0.0,Rebalance
2023-02-28,159792.XSHE,BUY,0.656,0.15,Rebalance
2023-03-31,159792.XSHE,SELL,0.684,0.0,Rebalance
2023-03-31,516010.XSHG,BUY,1.206,0.2,Rebalance
2023-03-31,516510.XSHG,BUY,1.189,0.2,Rebalance
2023-05-31,516510.XSHG,SELL,1.166,0.0,Rebalance
2023-05-31,516010.XSHG,REBALANCE,1.473,0.15,Rebalance
2023-06-30,516010.XSHG,SELL,1.457,0.0,Rebalance
2023-06-30,516510.XSHG,BUY,1.206,0.15,Rebalance
2023-07-31,516510.XSHG,SELL,1.108,0.0,Rebalance
2023-07-31,516010.XSHG,BUY,1.205,0.2,Rebalance
2023-07-31,515050.XSHG,BUY,1.014,0.2,Rebalance
2023-08-31,516010.XSHG,SELL,1.186,0.0,Rebalance
2023-08-31,515050.XSHG,SELL,0.954,0.0,Rebalance
2023-08-31,513180.XSHG,BUY,0.576,0.15,Rebalance
2023-10-23,513180.XSHG,SELL,0.5,0.0,Stop-Loss
2023-10-31,159842.XSHE,BUY,0.905,0.15,Rebalance
2023-11-30,159842.XSHE,SELL,0.897,0.0,Rebalance
2023-11-30,512760.XSHG,BUY,0.944,0.15,Rebalance
2024-01-08,512760.XSHG,SELL,0.81,0.0,Stop-Loss
2024-01-31,159611.XSHE,BUY,0.892,0.15,Rebalance
2024-02-29,159611.XSHE,SELL,0.931,0.0,Rebalance
2024-02-29,512800.XSHG,BUY,1.162,0.15,Rebalance
2024-04-30,512800.XSHG,SELL,1.218,0.0,Rebalance
2024-04-30,515050.XSHG,BUY,0.954,0.4,Rebalance
2024-05-31,515050.XSHG,SELL,0.926,0.0,Rebalance
2024-05-31,159792.XSHE,BUY,0.594,0.4,Rebalance
2024-07-31,159792.XSHE,SELL,0.551,0.0,Rebalance
2024-07-31,159611.XSHE,BUY,1.029,0.15,Rebalance
2024-09-30,159611.XSHE,SELL,1.069,0.0,Rebalance
2024-09-30,512800.XSHG,BUY,1.414,0.2,Rebalance
2024-09-30,513180.XSHG,BUY,0.643,0.2,Rebalance
2024-10-31,512800.XSHG,SELL,1.372,0.0,Rebalance
2024-10-31,513180.XSHG,SELL,0.613,0.0,Rebalance
2024-10-31,516160.XSHG,BUY,2.164,0.4,Rebalance
2024-12-31,512760.XSHG,BUY,1.125,0.2,Rebalance
2024-12-31,516160.XSHG,REBALANCE,1.978,0.2,Rebalance
2025-01-03,516160.XSHG,SELL,1.883,0.0,Stop-Loss
2025-02-28,516160.XSHG,BUY,1.97,0.2,Rebalance
2025-03-31,516160.XSHG,SELL,1.898,0.0,Rebalance
2025-03-31,512760.XSHG,SELL,1.162,0.0,Rebalance
2025-03-31,513180.XSHG,BUY,0.741,0.2,Rebalance
2025-03-31,516510.XSHG,BUY,1.181,0.2,Rebalance
2025-04-08,513180.XSHG,SELL,0.631,0.0,Stop-Loss
2025-04-08,516510.XSHG,SELL,1.024,0.0,Stop-Loss
2025-04-30,159792.XSHE,BUY,0.831,0.2,Rebalance
2025-04-30,516010.XSHG,BUY,1.089,0.2,Rebalance
2025-06-30,159792.XSHE,SELL,0.885,0.0,Rebalance
2025-06-30,516010.XSHG,SELL,1.273,0.0,Rebalance
2025-06-30,512800.XSHG,BUY,1.711,0.4,Rebalance
2025-07-07,512800.XSHG,SELL,0.894,0.0,Stop-Loss
2025-07-31,512400.XSHG,BUY,1.229,0.2,Rebalance
2025-07-31,159792.XSHE,BUY,0.926,0.2,Rebalance
