代码,转债名称,现价,涨跌幅,正股名称,正股价,转股溢价率,债券评级,债底溢价率,到期时间,到期税前收益,剩余年限,剩余规模(亿元),双低,回售收益,回售触发价,基金持仓,强赎触发价,成交额(万元),换手率,操作,期权价值,正股PB,正股波动率,正股涨跌,纯债价值,资产负债率,转债占比,转股价,转股价值
123169,正海转债!,150.460,6.04%,正海磁材R,19.50,-2.55%,AA-,-,28-11-23,-,-,11.378,147.91,增强,8.84,会员,16.42,318446.95,185.33%,,增强,4.21,会员,7.85%,会员,会员,7.00%,12.63,154.39
123231,信测转债!,139.039,5.44%,信测标准R,25.87,-2.08%,AA-,-,29-11-09,-,-,1.944,136.96,增强,12.75,会员,23.69,43828.06,163.95%,,增强,3.93,会员,7.43%,会员,会员,4.80%,18.22,141.99
123031,Z瑞转债!,306.519,-1.24%,晶瑞电材R,11.80,-1.55%,A+,-,25-08-29,-7779%,4天,0.359,304.97,增强,2.65,会员,4.93,32338.74,287.94%,,增强,4.89,会员,-0.34%,会员,会员,0.30%,3.79,311.35
111007,永和转债,161.756,4.88%,永和股份R,32.30,-1.45%,AA-,-,28-10-11,-9.40%,3.13年,7.784,160.31,增强,13.78,会员,25.59,77189.67,61.45%,,增强,3.21,会员,5.62%,会员,会员,6.30%,19.68*,164.13
123130,设研转债!,124.427,-1.26%,设研院,10.16,-1.41%,AA,-,27-11-11,-,-,3.635,123.02,增强,5.64,会员,10.47,27522.30,60.30%,,增强,1.26,会员,-0.49%,会员,会员,11.00%,8.05*,126.21
123162,东杰转债!,283.336,停牌,东杰智能,23.03,-0.96%,BBB+,-,28-10-14,-,-,1.728,282.38,增强,5.64,会员,10.47,0.00,0.00%,,增强,9.04,会员,0.00%,会员,会员,1.60%,8.05,286.09
123141,Z丰转债!,139.493,0.92%,温州宏丰,7.53,-0.89%,BBB+,-,28-03-15,-,-,0.532,138.60,增强,3.75,会员,6.96,16588.48,225.07%,,增强,4.27,会员,0.80%,会员,会员,2.00%,5.35*,140.75
127052,西子转债,139.422,-4.51%,西子洁能R,15.46,-0.89%,AA,-,27-12-24,-8.66%,2.33年,11.087,138.53,增强,7.69,会员,14.29,38442.22,24.35%,,增强,2.68,会员,0.00%,会员,会员,9.90%,10.99**,140.67
127077,华宏转债,160.226,5.07%,华宏科技R,18.00,-0.84%,A,-,28-12-02,-8.60%,3.27年,4.548,159.39,增强,7.80,会员,14.48,159565.32,219.42%,,增强,3.10,会员,6.57%,会员,会员,4.90%,11.14**,161.58
128133,奇正转债!,153.062,2.60%,奇正藏药R,29.31,-0.73%,AA,-,26-09-22,-,-,1.729,152.33,增强,13.31,会员,24.71,23994.91,91.50%,,增强,4.05,会员,2.81%,会员,会员,1.00%,19.01***,154.18
113064,东材转债!,162.887,-3.48%,东材科技R,18.91,-0.68%,AA,-,28-11-16,-,-,3.613,162.21,增强,8.07,会员,14.99,96178.19,162.42%,,增强,3.71,会员,-1.25%,会员,会员,1.90%,11.53,164.01
113549,Z白电转!,132.020,-0.54%,白云电器,10.14,-0.66%,AA,-,25-11-15,-,-,0.480,131.36,增强,5.34,会员,9.92,4708.72,74.05%,,增强,1.41,会员,-0.29%,会员,会员,0.90%,7.63*,132.90
123200,海泰转债!,163.305,-0.61%,海泰科R,42.84,-0.66%,A,-,29-06-27,-,-,1.802,162.65,增强,18.24,会员,33.88,29243.88,98.59%,,增强,3.63,会员,-1.31%,会员,会员,7.10%,26.06,164.39
123145,药石转债!,138.980,1.68%,药石科技R,47.01,-0.64%,AA,-,28-04-20,-,-,6.614,138.34,增强,23.53,会员,43.69,26549.93,28.94%,,增强,2.76,会员,1.73%,会员,会员,7.70%,33.61**,139.87
123120,隆华转债!,143.263,0.84%,隆华科技R,8.79,-0.58%,AA-,-,27-07-30,-,-,0.918,142.68,增强,4.27,会员,7.93,17917.88,135.35%,,增强,2.71,会员,1.03%,会员,会员,1.10%,6.10*,144.10
128076,金轮转债,141.173,-1.31%,物产金轮,18.93,-0.51%,AA-,-,25-10-14,-161.2%,50天,2.063,140.66,增强,9.34,会员,17.34,18582.68,62.99%,,增强,1.49,会员,-1.35%,会员,会员,6.20%,13.34,141.90
123206,开能转债!,126.000,-0.55%,开能健康,6.78,-0.39%,A+,-,29-07-20,-,-,0.912,125.61,增强,3.75,会员,6.97,4121.07,35.70%,,增强,3.23,会员,-0.29%,会员,会员,3.00%,5.36,126.49
113565,宏辉转债,158.400,-1.72%,宏辉果蔬,9.30,-0.36%,A+,-,26-02-26,-58.11%,0.51年,2.209,158.04,增强,4.10,会员,7.61,28695.19,81.03%,,增强,4.53,会员,-2.00%,会员,会员,4.20%,5.85,158.97
127033,中装转2,89.463,-1.36%,*ST中装,3.40,-0.28%,B-,-,27-04-16,16.00%,1.64年,8.438,89.18,增强,2.65,会员,4.93,28811.96,37.83%,,增强,2.41,会员,-3.41%,会员,会员,39.20%,3.79***,89.71
128081,海亮转债,135.273,-0.14%,海亮股份R,12.46,-0.12%,AA,-,25-11-21,-77.49%,0.24年,16.803,135.15,增强,6.44,会员,11.96,45383.54,19.82%,,增强,1.82,会员,-0.24%,会员,会员,6.60%,9.20,135.43
128131,崇达转2!,144.900,-2.04%,崇达技术,14.87,-0.12%,AA,-,26-09-07,-,-,9.293,144.78,增强,7.18,会员,13.33,71953.54,53.41%,,增强,2.22,会员,-3.19%,会员,会员,9.10%,10.25*,145.07
127101,Z鹏转债!,157.800,5.04%,豪鹏科技,79.34,-0.11%,AA-,-,29-12-22,-,-,0.682,157.69,增强,35.15,会员,65.29,43619.23,406.55%,,增强,3.17,会员,4.89%,会员,会员,1.10%,50.22,157.98
118014,高测转债!,163.009,-0.61%,高测股份R,12.02,-0.05%,A+,-,28-07-18,-,-,2.245,162.96,增强,5.16,会员,9.58,44296.02,118.90%,,增强,2.56,会员,-0.91%,会员,会员,2.30%,7.37*,163.09
123087,明电转债!,149.217,2.01%,明阳电路R,17.57,0.04%,AA-,-,26-12-15,-,-,0.803,149.26,增强,7.07,会员,15.31,33648.42,279.64%,,增强,2.54,会员,2.69%,会员,会员,1.40%,11.78**,149.15
113641,华友转债,140.000,-0.52%,华友钴业R,48.11,0.19%,AA+,-,28-02-24,-8.91%,2.50年,75.976,140.19,增强,24.10,会员,44.76,77135.93,7.21%,,增强,2.10,会员,0.35%,会员,会员,9.40%,34.43**,139.73
128132,交建转债,155.500,-0.68%,新疆交建R,15.52,0.19%,AA,-,26-09-15,-25.91%,1.06年,5.127,155.69,增强,7.00,会员,13.00,31675.24,39.51%,,增强,2.90,会员,-0.39%,会员,会员,4.90%,10.00**,155.20
113606,荣泰转债!,163.180,0.07%,荣泰健康,37.48,0.44%,AA-,-,26-10-30,-24.67%,1.18年,1.884,163.62,增强,16.15,会员,29.99,29252.19,94.93%,,增强,3.47,会员,-0.95%,会员,会员,2.60%,23.07,162.46
123232,金现转债!,148.360,-7.59%,金现代,13.73,1.04%,A+,-,29-11-27,-,-,2.023,149.40,增强,6.55,会员,12.16,60822.94,199.52%,,增强,4.97,会员,-2.97%,会员,会员,4.70%,9.35,146.84
127047,帝欧转债,137.299,-1.36%,帝欧家居,6.93,1.04%,A-,-,27-10-25,-6.66%,2.17年,8.710,138.34,增强,3.57,会员,6.63,14803.72,12.24%,,增强,2.09,会员,-2.67%,会员,会员,29.10%,5.10*,135.88
123056,雪榕转债,167.885,-1.12%,雪榕生物,6.80,1.23%,A,-,26-06-24,-38.07%,0.83年,1.766,169.12,增强,2.87,会员,4.92120%,15607.49,52.41%,,增强,3.40,会员,-2.16%,会员,会员,5.00%,4.10***,165.85
118004,博瑞转债,321.439,3.96%,博瑞医药R,109.50,1.98%,AA-,-,28-01-04,-34.78%,2.36年,4.536,323.42,增强,24.32,会员,45.16,112435.47,77.60%,,增强,18.58,会员,3.32%,会员,会员,1.00%,34.74,315.20
113632,鹤21转债,141.660,0.28%,仙鹤股份R,26.36,2.05%,AA,-,27-11-17,-8.98%,2.23年,20.498,143.71,增强,13.29,会员,24.69,20852.70,7.14%,,增强,2.24,会员,1.82%,会员,会员,11.00%,18.99**,138.81
123198,金埔转债,133.362,-1.80%,金埔园林R,9.84,2.33%,A,-,29-06-08,-2.78%,3.79年,3.259,135.69,增强,5.29,会员,9.82,8648.69,19.74%,,增强,1.35,会员,-0.81%,会员,会员,22.10%,7.55*,130.33
110059,浦发转债,114.770,0.06%,浦发银行R,14.01,2.48%,AAA,-,25-10-28,-24.08%,0.17年,353.000,117.25,增强,-,会员,16.26,71503.38,1.76%,,增强,0.56,会员,0.50%,会员,会员,8.30%,12.51,111.99
113664,大元转债!,247.800,-1.61%,大元泵业,49.65,2.76%,AA-,-,28-12-05,-20.14%,3.28年,3.915,250.56,增强,14.41,会员,26.77,364695.36,367.48%,,增强,4.92,会员,-0.90%,会员,会员,4.70%,20.59,241.14
113657,再22转债,153.800,2.22%,再升科技R,6.33,3.02%,AA-,-,28-09-29,-9.32%,3.10年,5.095,156.82,增强,3.39,会员,5.51,93870.57,117.92%,,增强,2.91,会员,3.77%,会员,会员,7.90%,4.24*,149.29
123235,亿田转债!,283.113,8.84%,亿田智能R,58.50,3.13%,AA-,-,29-12-21,-18.26%,4.33年,4.504,286.24,增强,14.92,会员,27.70,238880.12,189.11%,,增强,7.89,会员,8.82%,会员,会员,4.50%,21.31,274.52
123241,欧通转债!,619.600,0.96%,欧陆通R,263.87,3.27%,AA-,-,30-07-05,-29.43%,4.86年,2.771,622.87,增强,30.79,会员,57.17,388925.36,228.54%,,增强,11.99,会员,-1.82%,会员,会员,1.00%,43.98,599.98
110062,烽火转债,135.102,2.53%,烽火通信R,28.37,3.38%,AAA,-,25-12-02,-80.23%,0.27年,30.874,138.48,增强,15.20,会员,28.22,103386.05,24.35%,,增强,2.61,会员,6.81%,会员,会员,9.30%,21.71*,130.68
127081,中旗转债!,431.914,14.03%,中旗新材,61.49,3.68%,A+,-,29-03-03,-31.60%,3.52年,2.288,435.59,增强,10.33,会员,19.19,516896.66,537.57%,,增强,6.58,会员,10.00%,会员,会员,2.30%,14.76*,416.60
113062,常银转债,132.335,0.62%,常熟银行R,7.68,4.08%,AAA,-,28-09-15,-5.95%,3.06年,59.994,136.42,增强,-,会员,7.85,15498.43,1.95%,,增强,0.85,会员,1.05%,会员,会员,23.60%,6.04,127.15
128130,景兴转债,134.050,0.80%,景兴纸业R,4.36,4.23%,AA,-,26-08-31,-16.57%,1.02年,6.646,138.28,增强,2.71,会员,4.41,12262.56,13.79%,,增强,0.94,会员,0.69%,会员,会员,13.30%,3.39,128.61
123243,严牌转债!,150.780,-0.75%,严牌股份R,10.49,4.50%,A+,-,30-07-10,-4.86%,4.88年,3.232,155.28,增强,5.09,会员,9.45,6989.30,14.29%,,增强,2.25,会员,-1.41%,会员,会员,14.30%,7.27,144.29
113669,景23转债,261.181,12.21%,景旺电子R,59.60,4.78%,AA,-,29-04-04,-21.14%,3.61年,9.562,265.96,增强,16.74,会员,31.08,253492.54,106.11%,,增强,4.81,会员,10.00%,会员,会员,1.70%,23.91,249.27
113030,东风转债!,162.586,-1.74%,东峰集团R,4.78,5.45%,AA,-,25-12-24,-94.63%,0.33年,1.907,168.04,增强,2.17,会员,4.03,24003.89,76.13%,,增强,1.71,会员,-2.05%,会员,会员,2.10%,3.10**,154.19
123244,松原转债,166.274,-0.54%,松原安全R,32.03,5.64%,A+,-,30-08-01,-6.53%,4.94年,4.055,171.91,增强,14.25,会员,26.46,31423.43,46.13%,,增强,6.99,会员,-3.14%,会员,会员,8.00%,20.35,157.40
111016,神通转债,157.650,-2.68%,神通科技,17.17,5.77%,AA-,-,29-07-25,-6.97%,3.92年,5.492,163.42,增强,8.06,会员,14.98,13346.91,15.28%,,增强,4.64,会员,-3.43%,会员,会员,7.50%,11.52,149.05
123161,强联转债,180.131,-0.46%,新强联R,37.07,5.93%,AA,-,28-10-11,-13.28%,3.13年,7.248,186.06,增强,15.26,会员,28.34,18885.00,14.41%,,增强,2.38,会员,0.52%,会员,会员,7.30%,21.80**,170.05
113681,镇洋转债,145.217,停牌,镇洋发展,15.29,6.37%,AA-,-,29-12-29,-4.42%,4.35年,5.805,151.59,增强,7.84,会员,14.56,0.00,0.00%,,增强,3.45,会员,0.00%,会员,会员,8.60%,11.20,136.52
123147,中辰转债,144.174,-0.10%,中辰股份R,8.67,6.92%,AA-,-,28-05-31,-6.95%,2.77年,4.984,151.09,增强,4.50,会员,8.36,11275.82,15.68%,,增强,2.41,会员,-0.12%,会员,会员,12.20%,6.43*,134.84
113601,塞力转债!,309.900,15.94%,塞力医疗,34.67,7.26%,BB+,-,26-08-21,-63.77%,0.99年,1.881,317.16,增强,8.40,会员,15.60,550682.68,979.17%,,增强,7.20,会员,9.99%,会员,会员,2.60%,12.00***,288.92
128144,利民转债!,279.492,-0.18%,利民股份R,21.09,7.34%,AA,-,27-03-01,-45.70%,1.51年,2.581,286.83,增强,5.67,会员,10.53,24704.27,34.22%,,增强,2.67,会员,-0.38%,会员,会员,3.00%,8.10**,260.37
123201,纽泰转债!,164.246,-1.65%,纽泰格R,22.99,7.45%,A,-,29-06-27,-7.93%,3.84年,3.091,171.70,增强,10.53,会员,19.55,10605.20,20.70%,,增强,3.68,会员,-3.16%,会员,会员,12.40%,15.04,152.86
127055,精装转债!,178.199,1.57%,中天精装,30.49,8.12%,AA-,-,28-02-22,-15.31%,2.50年,2.135,186.32,增强,12.95,会员,24.05,8666.72,22.79%,,增强,4.07,会员,0.79%,会员,会员,3.80%,18.50,164.81
